setpoint[rad],position[rad],velocity[rad/s],acceleration[rad/s^2],current[mA],delta_t [ms]
3.32,3.61,-0.96,nan,-131.81,2.52
3.32,3.59,-1.20,nan,-110.29,2.46
3.32,3.57,-1.63,nan,-83.39,2.53
3.32,3.55,-1.94,nan,-64.56,2.50
3.32,3.53,-2.45,nan,-61.87,2.48
3.32,3.51,-2.81,nan,-59.18,2.50
3.32,3.50,-3.36,nan,-45.73,2.52
3.32,3.47,-3.72,nan,-45.73,2.48
3.32,3.46,-4.24,nan,-51.11,2.53
3.32,3.44,-4.58,nan,-40.35,2.48
3.32,3.42,-5.04,nan,-40.35,2.53
3.32,3.39,-5.44,nan,-43.04,2.81
3.43,3.38,-5.66,nan,-37.66,2.21
3.43,3.36,-5.88,nan,2993.97,2.55
3.43,3.36,-6.12,nan,2773.39,2.46
3.43,3.37,-6.21,nan,1804.99,2.44
3.43,3.38,-6.24,nan,1154.01,2.50
3.43,3.39,-6.14,nan,441.16,2.50
3.43,3.40,-5.85,nan,-242.10,2.50
3.43,3.42,-5.59,nan,-629.46,2.50
3.43,3.43,-5.06,nan,-833.90,2.50
3.43,3.43,-4.68,nan,-772.03,2.53
3.43,3.43,-4.03,nan,-704.78,2.46
3.43,3.43,-3.60,nan,-497.65,2.49
3.43,3.43,-2.90,nan,-309.35,2.53
3.43,3.43,-2.47,nan,-126.43,2.47
3.43,3.43,-1.80,nan,-16.14,2.50
3.43,3.43,-1.37,nan,83.39,2.49
3.43,3.43,-0.82,nan,112.98,2.51
3.43,3.43,-0.50,nan,91.46,2.51
3.43,3.43,-0.17,nan,83.39,2.52
3.43,3.43,-0.02,nan,53.80,2.47
3.15,3.43,0.07,nan,61.87,2.50
3.15,3.42,0.10,nan,-1525.23,2.54
3.15,3.42,0.07,nan,-1417.63,2.51
3.15,3.40,0.02,nan,-933.43,2.46
3.15,3.39,-0.10,nan,-597.18,2.53
3.15,3.37,-0.22,nan,-395.43,2.49
3.15,3.35,-0.48,nan,-269.00,2.48
3.15,3.34,-0.67,nan,-190.99,2.48
3.15,3.32,-1.01,nan,-131.81,2.60
3.15,3.30,-1.27,nan,-99.53,2.41
3.15,3.28,-1.68,nan,-86.08,2.52
3.15,3.26,-1.97,nan,-72.63,2.65
3.15,3.24,-2.45,nan,-56.49,2.33
3.15,3.22,-2.81,nan,-51.11,2.50
3.15,3.21,-3.33,nan,-61.87,2.52
3.15,3.18,-3.69,nan,153.33,2.48
3.15,3.17,-4.22,nan,745.13,2.51
3.15,3.16,-4.53,nan,1102.90,2.51
3.15,3.14,-4.96,nan,1167.46,2.52
3.15,3.14,-5.18,nan,1041.03,2.52
2.99,3.14,-5.40,nan,745.13,2.45
2.99,3.14,-5.47,nan,-1363.83,2.52
2.99,3.13,-5.49,nan,-1388.04,2.52
2.99,3.12,-5.47,nan,-938.81,2.45
2.99,3.10,-5.40,nan,-546.07,3.12
2.99,3.08,-5.35,nan,-398.12,1.87
2.99,3.07,-5.25,nan,-252.86,2.49
2.99,3.05,-5.20,nan,-182.92,2.51
2.99,3.03,-5.11,nan,-83.39,2.57
2.99,3.01,-5.06,nan,473.44,2.42
2.99,3.00,-5.01,nan,944.19,2.50
2.99,2.99,-4.99,nan,1116.35,2.51
2.99,2.98,-4.96,nan,1110.97,2.49
2.99,2.98,-4.94,nan,855.42,2.54
2.99,2.98,-4.94,nan,586.42,2.50
2.99,2.98,-4.94,nan,363.15,2.48
2.99,2.98,-4.87,nan,96.84,2.53
2.99,2.98,-4.77,nan,-8.07,2.47
2.99,2.99,-4.58,nan,-115.67,2.49
2.99,2.99,-4.41,nan,-142.57,2.50
2.10,2.99,-4.10,nan,-139.88,2.50
2.10,2.99,-3.84,nan,-1643.59,2.50
2.10,2.98,-3.45,nan,-1452.60,2.56
2.10,2.97,-3.17,nan,-973.78,2.46
2.10,2.95,-2.81,nan,-632.15,2.49
2.10,2.94,-2.61,nan,-403.50,2.70
2.10,2.92,-2.40,nan,-263.62,2.38
2.10,2.90,-2.33,nan,-188.30,2.41
2.10,2.88,-2.30,nan,-145.26,2.58
2.10,2.86,-2.37,nan,-110.29,2.47
2.10,2.84,-2.57,nan,-80.70,2.48
2.10,2.83,-2.73,nan,-72.63,2.50
2.10,2.81,-3.09,nan,-64.56,2.53
2.10,2.79,-3.36,nan,-48.42,2.44
2.10,2.77,-3.81,nan,-45.73,2.52
2.10,2.75,-4.12,nan,-53.80,2.49
2.10,2.73,-4.58,nan,-43.04,2.48
2.10,2.71,-4.89,nan,-40.35,2.51
2.10,2.69,-5.30,nan,-48.42,2.52
2.10,2.67,-5.66,nan,-43.04,3.16
3.30,2.65,-5.88,nan,-43.04,2.17
3.30,2.63,-6.24,nan,3201.10,3.54
3.30,2.63,-6.31,nan,2805.67,1.53
3.30,2.63,-6.40,nan,2041.71,2.08
3.30,2.64,-6.40,nan,1162.08,2.97
3.30,2.66,-6.33,nan,812.38,2.05
3.30,2.67,-6.07,nan,470.75,3.07
3.30,2.69,-5.78,nan,328.18,1.92
3.30,2.70,-5.25,nan,220.58,2.50
3.30,2.72,-4.82,nan,158.71,2.49
3.30,2.74,-4.05,nan,110.29,2.50
3.30,2.76,-3.50,nan,69.94,2.50
3.30,2.78,-2.57,nan,61.87,2.49
3.30,2.80,-1.89,nan,56.49,2.50
3.30,2.82,-0.84,nan,37.66,2.49
3.30,2.84,-0.12,nan,32.28,2.51
3.30,2.86,0.94,nan,37.66,2.52
3.30,2.88,1.58,nan,29.59,2.46
3.30,2.89,2.49,nan,24.21,2.53
3.30,2.92,3.05,nan,32.28,2.47
4.16,2.93,3.76,nan,29.59,2.53
4.16,2.95,4.20,nan,21.52,2.47
4.16,2.97,4.77,nan,29.59,2.51
4.16,2.99,5.08,nan,32.28,2.52
4.16,3.01,5.52,nan,21.52,2.47
4.16,3.03,5.76,nan,26.90,2.50
4.16,3.05,6.07,nan,24.21,2.84
4.16,3.07,6.24,nan,24.21,2.16
4.16,3.09,6.47,nan,21.52,2.51
4.16,3.11,6.59,nan,29.59,2.55
4.16,3.13,6.76,nan,26.90,2.47
