setpoint [rad], position [rad], velocity [rad/s], current [mA], delta_t [ms]
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, -13.45, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.77
3.15, 3.15, 0.00, 0.00, 2.25
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.58
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.44
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 5.38, 2.48
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.55
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.38, 3.15, 0.00, 0.00, 2.55
3.38, 3.15, 0.00, 1530.61, 2.46
3.38, 3.16, 0.00, 1396.11, 2.52
3.38, 3.17, 0.05, 903.84, 2.49
3.38, 3.19, 0.12, 572.97, 2.50
3.38, 3.21, 0.26, 368.53, 2.47
3.38, 3.22, 0.43, 247.48, 2.53
3.38, 3.24, 0.70, 174.85, 2.50
3.38, 3.26, 0.91, 115.67, 2.50
3.38, 3.28, 1.29, 80.70, 2.47
3.38, 3.30, 1.58, 69.94, 2.50
3.38, 3.32, 2.04, 56.49, 2.51
3.38, 3.33, 2.35, -59.18, 2.51
3.38, 3.35, 2.88, -607.94, 2.50
3.38, 3.37, 3.24, -1043.72, 2.51
3.38, 3.38, 3.76, -1172.84, 2.49
3.38, 3.38, 4.08, -1054.48, 2.49
3.38, 3.39, 4.44, -839.28, 2.50
3.38, 3.39, 4.60, -578.35, 2.50
3.38, 3.39, 4.75, -279.76, 2.50
3.38, 3.38, 4.77, -118.36, 2.50
3.38, 3.38, 4.70, 10.76, 2.50
3.38, 3.38, 4.58, 139.88, 2.50
3.38, 3.38, 4.34, 164.09, 2.50
3.38, 3.38, 4.12, 107.60, 2.51
3.38, 3.38, 3.74, 78.01, 2.49
3.38, 3.38, 3.45, 56.49, 2.55
3.38, 3.38, 3.02, 18.83, 2.48
3.38, 3.38, 2.71, 21.52, 2.51
3.38, 3.38, 2.25, -2.69, 2.46
3.38, 3.38, 1.97, -10.76, 2.50
3.38, 3.38, 1.61, -8.07, 2.50
3.38, 3.38, 1.39, -2.69, 2.51
3.38, 3.38, 1.10, 16.14, 2.49
3.38, 3.38, 0.96, -5.38, 2.55
3.38, 3.38, 0.79, -5.38, 2.49
3.38, 3.38, 0.70, -2.69, 2.46
3.38, 3.38, 0.58, -2.69, 2.50
3.38, 3.38, 0.50, -2.69, 2.50
3.38, 3.38, 0.41, -2.69, 2.51
3.38, 3.38, 0.36, 2.69, 2.50
3.38, 3.38, 0.31, 0.00, 2.52
3.38, 3.38, 0.26, 0.00, 2.48
3.38, 3.38, 0.22, 0.00, 2.49
3.38, 3.38, 0.19, 0.00, 2.54
3.38, 3.38, 0.17, 0.00, 2.51
3.38, 3.38, 0.14, 0.00, 2.49
3.38, 3.38, 0.12, 0.00, 2.50
3.38, 3.38, 0.10, 0.00, 2.50
3.38, 3.38, 0.07, 0.00, 2.50
3.38, 3.38, 0.07, 0.00, 2.47
3.38, 3.38, 0.05, 0.00, 2.50
3.38, 3.38, 0.05, 0.00, 2.50
3.38, 3.38, 0.05, 0.00, 2.50
3.38, 3.38, 0.02, 10.76, 2.52
3.38, 3.38, 0.02, 0.00, 2.50
3.38, 3.38, 0.02, 0.00, 2.50
3.38, 3.38, 0.02, 0.00, 2.50
3.38, 3.38, 0.02, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.55
3.38, 3.38, 0.00, 0.00, 2.45
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.55
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.58
3.38, 3.38, 0.00, 0.00, 2.40
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.56
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.45
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 4.53
3.38, 3.38, 0.00, 0.00, 0.64
3.38, 3.38, 0.00, 0.00, 2.42
3.38, 3.38, 0.00, 0.00, 2.43
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.55
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.44
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.57
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.45
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.56
3.38, 3.38, 0.00, 0.00, 2.45
3.38, 3.38, 0.00, 0.00, 2.84
3.38, 3.38, 0.00, 0.00, 2.15
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.44
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.58
3.38, 3.38, 0.00, 0.00, 2.42
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.45
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.57
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.55
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.45
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.55
3.38, 3.38, 0.00, 0.00, 2.44
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.55
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.54
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.62
3.38, 3.38, 0.00, 0.00, 2.41
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.47
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.65
3.38, 3.38, 0.00, 0.00, 2.35
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.52
3.38, 3.38, 0.00, 0.00, 2.48
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.55
3.38, 3.38, 0.00, 0.00, 2.45
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.50
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.53
3.38, 3.38, 0.00, 0.00, 2.46
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.51
3.38, 3.38, 0.00, 0.00, 2.61
3.38, 3.38, 0.00, 0.00, 2.44
3.38, 3.38, 0.00, 0.00, 2.49
3.38, 3.38, 0.00, 0.00, 2.45
3.38, 3.38, 0.00, 0.00, 2.60
3.15, 3.38, 0.00, 0.00, 2.45
3.15, 3.38, 0.00, -1522.54, 2.46
3.15, 3.37, 0.00, -1420.32, 2.50
3.15, 3.35, -0.05, -933.43, 2.50
3.15, 3.34, -0.12, -605.25, 2.50
3.15, 3.32, -0.26, -398.12, 2.50
3.15, 3.31, -0.41, -263.62, 2.51
3.15, 3.29, -0.70, -172.16, 2.49
3.15, 3.27, -0.91, -126.43, 2.49
3.15, 3.25, -1.29, -104.91, 2.53
3.15, 3.23, -1.56, -83.39, 2.50
3.15, 3.22, -2.01, -64.56, 2.52
3.15, 3.20, -2.35, 37.66, 2.45
3.15, 3.18, -2.88, 607.94, 2.52
3.15, 3.16, -3.24, 1051.79, 2.51
3.15, 3.15, -3.74, 1159.39, 2.46
3.15, 3.15, -4.05, 1057.17, 2.51
3.15, 3.14, -4.44, 833.90, 2.50
3.15, 3.14, -4.60, 581.04, 2.51
3.15, 3.14, -4.75, 303.97, 2.50
3.15, 3.15, -4.77, 72.63, 2.54
3.15, 3.15, -4.70, -18.83, 2.46
3.15, 3.15, -4.60, -107.60, 2.55
3.15, 3.15, -4.34, -166.78, 2.43
3.15, 3.15, -4.12, -137.19, 2.50
3.15, 3.15, -3.74, -123.74, 2.50
3.15, 3.15, -3.48, -67.25, 2.57
3.15, 3.15, -3.02, -34.97, 2.43
3.15, 3.15, -2.71, 13.45, 2.50
3.15, 3.15, -2.25, 24.21, 2.50
3.15, 3.15, -1.97, 18.83, 2.51
3.15, 3.15, -1.61, 8.07, 2.53
3.15, 3.15, -1.39, 2.69, 2.46
3.15, 3.15, -1.10, 0.00, 2.49
3.15, 3.15, -0.96, 0.00, 2.51
3.15, 3.15, -0.79, 0.00, 2.50
3.15, 3.15, -0.70, 0.00, 2.50
3.15, 3.15, -0.58, 0.00, 2.49
3.15, 3.15, -0.50, 0.00, 2.50
3.15, 3.15, -0.43, 0.00, 2.54
3.15, 3.15, -0.38, 0.00, 2.51
3.15, 3.15, -0.31, 0.00, 2.45
3.15, 3.15, -0.29, 0.00, 2.52
3.15, 3.15, -0.24, 0.00, 2.50
3.15, 3.15, -0.22, 0.00, 2.54
3.15, 3.15, -0.17, 0.00, 2.48
3.15, 3.15, -0.14, 13.45, 2.47
3.15, 3.15, -0.12, 0.00, 2.51
3.15, 3.15, -0.10, 0.00, 2.49
3.15, 3.15, -0.10, 0.00, 2.53
3.15, 3.15, -0.07, 0.00, 2.51
3.15, 3.15, -0.07, 13.45, 2.49
3.15, 3.15, -0.05, 10.76, 2.47
3.15, 3.15, -0.05, -2.69, 2.53
3.15, 3.15, -0.05, -5.38, 2.47
3.15, 3.15, -0.02, -5.38, 2.51
3.15, 3.15, -0.02, -2.69, 2.57
3.15, 3.15, -0.02, -2.69, 2.47
3.15, 3.15, -0.02, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.56
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.55
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.51
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.54
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.48
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.52
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.46
3.15, 3.15, 0.00, 0.00, 2.56
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.45
3.15, 3.15, 0.00, 0.00, 2.50
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.47
3.15, 3.15, 0.00, 0.00, 2.53
3.15, 3.15, 0.00, 0.00, 2.49
3.15, 3.15, 0.00, 0.00, 2.50
